job_id,company,title,location,score,action_label,matched_skills,skill_gaps,reasons,blocking_issues,skill_score,role_score,location_score
greenhouse_waymo_7249409,waymo,"2026 Summer Intern, BS/MS, Software Engineering, Simulation","Mountain View, CA",33.0,Apply Later,"data analysis, machine learning, python","simulation, software engineering",Posting explicitly identifies this as an internship,,0.05,0.0,0.0
greenhouse_waymo_7252833,waymo,"2026 Intern, PhD, Machine Learning Engineer, Simulation","Mountain View, CA",63.57,Skip,"machine learning, python, pytorch",simulation,Title aligns with preferred role: machine learning engineer intern | Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting,This role appears to require a PhD,0.1429,1.0,0.0
greenhouse_waymo_7254796,waymo,"2026 Summer Intern, PhD, Machine Learning Engineer, Simulation","London, UK",63.25,Skip,"machine learning, python, pytorch",simulation,Title aligns with preferred role: machine learning engineer intern | Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting,This role appears to require a PhD,0.1375,1.0,0.0
greenhouse_waymo_7296694,waymo,"2026 Summer Intern, MS/PhD, ML Runtime and Deployment","Mountain View, CA, USA",45.0,Skip,"machine learning, python",,"Matched on key skills: machine learning, python | Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting",This role appears to require a PhD,0.25,0.0,0.0
greenhouse_waymo_7318472,waymo,"2026 Summer Intern, MS/PhD, DUE ML","London, England, United Kingdom",43.71,Skip,"machine learning, python, pytorch",,"Matched on key skills: machine learning, python, pytorch | Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting",This role appears to require a PhD,0.2286,0.0,0.0
greenhouse_waymo_7368864,waymo,"2026 Summer Intern, PhD, Software Engineer, Predictive Planner ML/DL","Mountain View, CA, USA",38.57,Skip,"machine learning, python, pytorch",software engineering,Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting,This role appears to require a PhD,0.1429,0.0,0.0
greenhouse_waymo_7235071,waymo,"2026 Summer Intern, PhD, Perception","Mountain View, California, USA",33.0,Skip,"machine learning, python, pytorch",,Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting,This role appears to require a PhD,0.05,0.0,0.0
greenhouse_waymo_7340164,waymo,"2026 Summer Intern, MS/PhD, Compute, Compiler","Mountain View, CA, USA",30.0,Skip,,,Posting explicitly identifies this as an internship | Blocked by eligibility constraints in the posting,This role appears to require a PhD,0.0,0.0,0.0
greenhouse_waymo_7707980,waymo,Machine Learning Engineer - VLM/LLM Integration,"Mountain View, CA, USA; New York, NY, US; Seattle, WA, US",46.0,Skip,"machine learning, python, pytorch","llm, vlm",Title aligns with preferred role: machine learning engineer intern | Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.1,1.0,1.0
greenhouse_waymo_7698498,waymo,"Software Engineer, Machine Learning Tooling","Taipei, Taiwan; Hsinchu, Taiwan",33.0,Skip,machine learning,software engineering,Title aligns with preferred role: machine learning engineer intern | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.1333,1.0,0.0
greenhouse_waymo_7407179,waymo,Field Safety Engineer,"Mountain View, CA, USA",19.0,Skip,"data analysis, machine learning",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0667,0.0,1.0
greenhouse_waymo_7426754,waymo,Fullstack Engineer - Waymo Applications and Tools,"Mountain View, CA, USA",19.0,Skip,"machine learning, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0667,0.0,1.0
greenhouse_waymo_7683884,waymo,Signal Integrity Engineer,"Mountain View, CA",19.0,Skip,"machine learning, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0667,0.0,1.0
greenhouse_waymo_7656843,waymo,ASIC Design Verification Engineer,"Mountain View, CA, USA",18.6,Skip,"data analysis, machine learning, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.06,0.0,1.0
greenhouse_waymo_7430215,waymo,Silicon Emulation Architect,"Mountain View, CA, USA",18.0,Skip,"data analysis, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7532414,waymo,"Software Engineer, Test Automation Infrastructure","San Francisco, CA, US; Mountain View, CA, US",18.0,Skip,"machine learning, python",software engineering,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7436001,waymo,Sourcing Process Owner (Source-to-Pay),"Remote, US",18.0,Skip,"data analysis, machine learning",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7510381,waymo,"Systems Engineer, Networks","Mountain View, CA, US",18.0,Skip,"machine learning, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7702392,waymo,"Systems Test Engineer, Commercialization Test Automation","Mountain View, CA, USA; San Francisco, CA, USA",18.0,Skip,"data analysis, python",,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7665361,waymo,"UX Designer, Design System","Mountain View, CA, USA; San Francisco, CA, USA",18.0,Skip,machine learning,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,1.0
greenhouse_waymo_7593435,waymo,Hardware Test Development Engineer,"Mountain View, CA, USA",17.0,Skip,python,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,1.0
greenhouse_waymo_7684041,waymo,Product Quality Engineer,"Mountain View, CA, US",17.0,Skip,data analysis,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,1.0
greenhouse_waymo_7697642,waymo,Risk Management Engineer,"San Francisco, CA, USA; Mountain View, CA, USA",17.0,Skip,data analysis,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,1.0
greenhouse_waymo_7456161,waymo,Software Quality Ops Scenarios Specialist,"Mountain View, CA",17.0,Skip,machine learning,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,1.0
greenhouse_waymo_7456195,waymo,Software Quality Ops Scenarios Specialist,"Mountain View, CA",17.0,Skip,machine learning,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,1.0
greenhouse_waymo_7466529,waymo,"Software Engineer, Bulk/Interactive Inference","Mountain View, CA, USA",16.5,Skip,machine learning,software engineering,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.025,0.0,1.0
greenhouse_waymo_7438172,waymo,Analysis Infra SWE,"Mountain View, CA, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7435297,waymo,Claims Advocate,"San Francisco, CA, USA; Mountain View, CA, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7435420,waymo,Functional Safety Engineer,"Mountain View, CA, USA; San Francisco, CA, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7409556,waymo,"Mechanical Engineer, Vehicle Engineering","Mountain View, CA, USA ; Novi, MI, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7461103,waymo,Onboard Infrastructure Software Engineer,"Mountain View, CA, USA",15.0,Skip,,software engineering,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7435909,waymo,SAP Finance IT Business Analyst,"Mountain View, California, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7554830,waymo,"Software Engineer, GPU","Mountain View, CA, USA; New York, NY, USA",15.0,Skip,,software engineering,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7572411,waymo,"Systems Engineer, Power Systems (Low Voltage)","Mountain View, CA, USA",15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7684945,waymo,Vehicle Planning & Buy-Sell Operations,Mountain View (US-MTV-RLS1),15.0,Skip,,,Location matches a preferred target | Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0,0.0,1.0
greenhouse_waymo_7682770,waymo,Administrative Business Partner,"Mountain View, CA, USA",3.0,Skip,data analysis,,Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,0.0
greenhouse_waymo_7420989,waymo,Construction Project Executive - EMEA - OPs,"London, United Kingdom, UK",3.0,Skip,machine learning,,Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,0.0
greenhouse_waymo_7724801,waymo,"Field Safety Engineer, Japan / フィールド・セーフティ・エンジニア（日本）","Tokyo, Japan",3.0,Skip,machine learning,,Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,0.0
greenhouse_waymo_7360365,waymo,Silicon Emulation Engineer,"Taipei, Taiwan; Hsinchu, Taiwan",3.0,Skip,"data analysis, python",,Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.05,0.0,0.0
greenhouse_waymo_7480724,waymo,Backend Engineer - Mapping Tools,"Warsaw, Masovian Voivodeship, Poland",2.0,Skip,machine learning,,Blocked by eligibility constraints in the posting,This role does not appear to be an internship,0.0333,0.0,0.0
